"role_listing_id";"role_id";"role_listing_desc";"role_listing_source";"role_listing_open";"role_listing_close";"role_listing_creator";"role_listing_ts_create";"role_listing_updater";"role_listing_ts_update";"role_listing_status"
64;234567891;"The Head, Talent Attraction is responsible for strategic workforce planning to support the organisation's growth strategies through establishing talent sourcing strategies, determining the philosophy for the
selection and securing of candidates and overseeing the onboarding and integration of new hires into the organisation. He/She develops various approaches to meet workforce requirements and designs
employer branding strategies. He oversees the selection processes and collaborates with business stakeholders for the hiring of key leadership roles. As a department head, he is responsible for setting the
direction and articulating goals and objectives for the team, and driving the integration of Skills Frameworks across the organisation's talent attraction plans.
The Head, Talent Attraction is an influential and inspiring leader who adopts a broad perspective in the decisions he makes. He is articulate and displays a genuine passion for motivating and developing his
team";123456787;"2023-10-13 00:00:00";"2023-10-27 00:00:00";123456788;"2023-10-12 07:24:09";123456788;"2023-10-12 07:24:09";"active"
269;234567891;"The Head, Talent Attraction is responsible for strategic workforce planning to support the organisation's growth strategies through establishing talent sourcing strategies, determining the philosophy for the
selection and securing of candidates and overseeing the onboarding and integration of new hires into the organisation. He/She develops various approaches to meet workforce requirements and designs
employer branding strategies. He oversees the selection processes and collaborates with business stakeholders for the hiring of key leadership roles. As a department head, he is responsible for setting the
direction and articulating goals and objectives for the team, and driving the integration of Skills Frameworks across the organisation's talent attraction plans.
The Head, Talent Attraction is an influential and inspiring leader who adopts a broad perspective in the decisions he makes. He is articulate and displays a genuine passion for motivating and developing his
team";123456787;"2023-10-13 00:00:00";"2023-10-27 00:00:00";123456788;"2023-10-12 07:24:12";123456788;"2023-10-12 07:24:12";"active"
349;234567893;"The Agile Coach (SM) coaches teams in the conduct of Agile practices and the implementation of Agile methodologies and practices in the organisation and acts as an effective Scrum Master in Agile Scrum
teams.";123456787;"2023-11-01 00:00:00";"2023-11-15 00:00:00";123456788;"2023-10-12 07:33:04";123456788;"2023-10-12 07:33:04";"active"
435;234567893;"The Agile Coach (SM) coaches teams in the conduct of Agile practices and the implementation of Agile methodologies and practices in the organisation and acts as an effective Scrum Master in Agile Scrum
teams.";123456787;"2023-11-01 00:00:00";"2023-11-15 00:00:00";123456788;"2023-10-12 07:32:23";123456788;"2023-10-12 07:32:23";"active"
527;234567891;"The Head, Talent Attraction is responsible for strategic workforce planning to support the organisation's growth strategies through establishing talent sourcing strategies, determining the philosophy for the
selection and securing of candidates and overseeing the onboarding and integration of new hires into the organisation. He/She develops various approaches to meet workforce requirements and designs
employer branding strategies. He oversees the selection processes and collaborates with business stakeholders for the hiring of key leadership roles. As a department head, he is responsible for setting the
direction and articulating goals and objectives for the team, and driving the integration of Skills Frameworks across the organisation's talent attraction plans.
The Head, Talent Attraction is an influential and inspiring leader who adopts a broad perspective in the decisions he makes. He is articulate and displays a genuine passion for motivating and developing his
team";123456787;"2023-10-13 00:00:00";"2023-10-27 00:00:00";123456788;"2023-10-12 07:24:10";123456788;"2023-10-12 07:24:10";"active"
786;234567891;"The Head, Talent Attraction is responsible for strategic workforce planning to support the organisation's growth strategies through establishing talent sourcing strategies, determining the philosophy for the
selection and securing of candidates and overseeing the onboarding and integration of new hires into the organisation. He/She develops various approaches to meet workforce requirements and designs
employer branding strategies. He oversees the selection processes and collaborates with business stakeholders for the hiring of key leadership roles. As a department head, he is responsible for setting the
direction and articulating goals and objectives for the team, and driving the integration of Skills Frameworks across the organisation's talent attraction plans.
The Head, Talent Attraction is an influential and inspiring leader who adopts a broad perspective in the decisions he makes. He is articulate and displays a genuine passion for motivating and developing his
team";123456787;"2023-10-13 00:00:00";"2023-10-27 00:00:00";123456788;"2023-10-12 07:24:11";123456788;"2023-10-12 07:24:11";"active"
984;234567891;"The Head, Talent Attraction is responsible for strategic workforce planning to support the organisation's growth strategies through establishing talent sourcing strategies, determining the philosophy for the
selection and securing of candidates and overseeing the onboarding and integration of new hires into the organisation. He/She develops various approaches to meet workforce requirements and designs
employer branding strategies. He oversees the selection processes and collaborates with business stakeholders for the hiring of key leadership roles. As a department head, he is responsible for setting the
direction and articulating goals and objectives for the team, and driving the integration of Skills Frameworks across the organisation's talent attraction plans.
The Head, Talent Attraction is an influential and inspiring leader who adopts a broad perspective in the decisions he makes. He is articulate and displays a genuine passion for motivating and developing his
team";123456787;"2023-10-13 00:00:00";"2023-10-27 00:00:00";123456788;"2023-10-12 07:25:03";123456788;"2023-10-12 07:25:03";"active"
99374;234567891;"The Head, Talent Attraction is responsible for strategic workforce planning to support the organisation's growth strategies through establishing talent sourcing strategies, determining the philosophy for the
selection and securing of candidates and overseeing the onboarding and integration of new hires into the organisation. He/She develops various approaches to meet workforce requirements and designs
employer branding strategies. He oversees the selection processes and collaborates with business stakeholders for the hiring of key leadership roles. As a department head, he is responsible for setting the
direction and articulating goals and objectives for the team, and driving the integration of Skills Frameworks across the organisation's talent attraction plans.
The Head, Talent Attraction is an influential and inspiring leader who adopts a broad perspective in the decisions he makes. He is articulate and displays a genuine passion for motivating and developing his
team";123456787;"2023-10-01 00:00:00";"2023-10-15 00:00:00";123456788;"2023-10-01 15:01:44";123456788;"2023-10-01 15:23:42";"inactive"
109012;234567894;"The Software Engineer deals with the design, development, testing, and maintenance of software applications";123456785;"2023-10-13 00:00:00";"2023-11-13 00:00:00";123456788;"2023-10-13 02:33:49";123456788;"2023-10-13 02:33:49";"active"
234567;234567893;"The Agile Coach (SM) coaches teams in the conduct of Agile practices and the implementation of Agile methodologies and practices in the organisation and acts as an effective Scrum Master in Agile Scrum
 teams.";123456787;"2023-10-06 00:00:00";"2023-10-25 00:00:00";123456788;"2023-10-06 15:14:19";123456788;"2023-10-06 15:14:19";"active"
735850;234511581;"The Fire Warden is responsible for testing fire alarms and firefighting equipment and implementing risk assessment recommendations. In the event of a confirmed fire alarm or fire drill, the warden assists
in the safe evacuation of staff and visitors from the premise immediately.";123456787;"2023-10-12 00:00:00";"2023-10-26 00:00:00";123456788;"2023-10-04 16:36:05";123456788;"2023-10-04 16:36:05";"active"
773468;234567891;"The Head, Talent Attraction is responsible for strategic workforce planning to support the organisation's growth strategies through establishing talent sourcing strategies, determining the philosophy for the
selection and securing of candidates and overseeing the onboarding and integration of new hires into the organisation. He/She develops various approaches to meet workforce requirements and designs
employer branding strategies. He oversees the selection processes and collaborates with business stakeholders for the hiring of key leadership roles. As a department head, he is responsible for setting the
direction and articulating goals and objectives for the team, and driving the integration of Skills Frameworks across the organisation's talent attraction plans.
The Head, Talent Attraction is an influential and inspiring leader who adopts a broad perspective in the decisions he makes. He is articulate and displays a genuine passion for motivating and developing his
team";123456787;"2023-10-13 00:00:00";"2023-10-27 00:00:00";123456788;"2023-10-21 04:56:44";123456788;"2023-10-21 04:56:44";"active"
936417;234567892;"The Learning Facilitator delivers learning products and services in a variety of environments, using multiple learning delivery modes and methods. He/She assesses learning needs and adapts the facilitation
approach to reflect desired learning outcomes and learner needs. He is responsible for knowledge and skills transfer by delivering learning content, facilitating group discussions and responding to queries.
He drives learner development and commitment to continuous learning by actively providing feedback and learner support. He evaluates curriculum effectiveness and recommends improvement areas by
collecting learner feedback as well as analysing learning delivery approaches and materials.
He is a strong communicator who builds trusted relationships and creates a cooperative and engaging learning environment. He is adaptable and adept at managing multiple stakeholders.
He works in multiple different environments, including different learning venues and client sites, and regularly interacts with digital systems.";123456787;"2023-10-20 00:00:00";"2023-11-03 00:00:00";123456788;"2023-10-21 07:45:24";123456788;"2023-10-21 07:45:24";"active"
945212;234567891;"This is the new role description after updating.";123456787;"2023-10-05 00:00:00";"2023-10-19 00:00:00";123456788;"2023-10-01 15:14:19";123456788;"2023-10-01 15:15:34";"active"
2147483647;234511581;"The Fire Warden is responsible for testing fire alarms and firefighting equipment and implementing risk assessment recommendations. In the event of a confirmed fire alarm or fire drill, the warden assists
in the safe evacuation of staff and visitors from the premise immediately.";123456787;"2023-10-05 00:00:00";"2023-10-19 00:00:00";123456788;"2023-10-12 07:01:37";123456788;"2023-10-12 07:09:23";"inactive"
